iea_section,bsa_section,note
91,91,Evidence of terms of contracts grants and other dispositions of property reduced to form of document
92,92,Exclusion of evidence of oral agreement
93,93,Exclusion of evidence to explain or amend ambiguous document
94,94,Exclusion of evidence against application of document to existing facts
95,95,Evidence as to document unmeaning in reference to existing facts
96,96,Evidence as to application of language which can apply to one only of several persons
97,97,Evidence as to application of language to one of two sets of facts to neither of which the whole correctly applies
98,98,Evidence as to meaning of illegible characters etc
99,99,Who may give evidence of agreement varying terms of document
100,100,Saving of provisions of Indian Succession Act relating to wills
101,101,Burden of proof
102,102,On whom burden of proof lies
103,103,Burden of proof as to particular fact
104,104,Burden of proving fact to be proved to make evidence admissible
105,105,Burden of proving that case of accused comes within exceptions
106,106,Burden of proving fact especially within knowledge
107,107,Burden of proving death of person known to have been alive within thirty years
108,108,Burden of proving that person is alive who has not been heard of for seven years
109,109,Burden of proof as to relationship in the cases of partners landlord and tenant principal and agent
110,110,Burden of proof as to ownership
111,111,Proof of good faith in transactions where one party is in relation of active confidence
111A,111A,Presumption as to certain offences
112,112,Birth during marriage conclusive proof of legitimacy
113,113,Proof of cession of territory
113A,113A,Presumption as to abetment of suicide by a married woman
113B,113B,Presumption as to dowry death
114,114,Court may presume existence of certain facts
114A,114A,Presumption as to absence of consent in certain prosecution for rape
115,115,Estoppel
116,116,Estoppel of tenant and of licensee of person in possession
117,117,Estoppel of acceptor of bill of exchange bailee or licensee
118,118,Who may testify
119,119,Dumb witnesses
120,120,Parties to civil suit and their wives or husbands — Accused in criminal proceedings
121,121,Judges and Magistrates
122,122,Communications during marriage
123,123,Evidence as to affairs of State
124,124,Official communications
125,125,Information as to commission of offences
126,126,Professional communications
127,127,Section 126 to apply to interpreters etc
128,128,Privilege not waived by volunteering evidence
129,129,Confidential communications with legal advisers
130,130,Production of title-deeds of witness not a party
131,131,Production of documents or electronic records which another person having possession could refuse to produce
132,132,Witness not excused from answering on ground that answer will criminate
133,133,Accomplice
134,134,Number of witnesses
135,135,Order of production and examination of witnesses
136,136,Judge to decide as to admissibility of evidence
137,137,Examination-in-chief
138,138,Order of examinations
139,139,Cross-examination of person called to produce a document
140,140,Witnesses to character
141,141,Leading questions
142,142,When they must not be asked
143,143,When they may be asked
144,144,Evidence as to matters in writing
145,145,Cross-examination as to previous statements in writing
146,146,Questions lawful in cross-examination
147,147,When witness to be compelled to answer
148,148,Court to decide when question shall be asked and when witness compelled to answer
149,149,Question not to be asked without reasonable grounds
150,150,Procedure of Court in case of question being asked without reasonable grounds
151,151,Indecent and scandalous questions
152,152,Questions intended to insult or annoy
153,153,Exclusion of evidence to contradict answers to questions testing veracity
154,154,Question by party to his own witness
155,155,Impeaching credit of witness
156,156,Questions tending to corroborate evidence of relevant fact admissible
157,157,Former statements of witness may be proved to corroborate later testimony as to same fact
158,158,What matters may be proved in connection with proved statement relevant under section 32 or 33
159,159,Refreshing memory
160,160,Testimony to facts stated in document mentioned in section 159
161,161,Right of adverse party as to writing used to refresh memory
162,162,Production of documents
163,163,Giving as evidence of document called for and produced on notice
164,164,Using as evidence of document production of which was refused on notice
165,165,Judge's power to put questions or order production
166,166,Power of jury or assessors to put questions
167,167,No new trial for improper admission or rejection of evidence
