crpc_section,bnss_section,note
301,331,Appearance by public prosecutors
302,332,Permission to conduct prosecution
303,333,Right of person against whom proceedings are instituted to be defended
304,334,Legal aid to accused at State expense in certain cases
306,338,Tender of pardon to accomplice
307,339,Power to direct tender of pardon
308,340,Trial of person not complying with conditions of pardon
309,341,Adjournment and remand
310,342,Local inspection
311,343,Power to summon material witness or examine person present
312,344,Expenses of complainants and witnesses
313,345,Power to examine the accused
314,346,Arguments
315,347,Accused person to be competent witness
316,348,No influence to be used to induce disclosure
317,349,Provision for inquiries and trial being held in the absence of accused in certain cases
318,350,Procedure where accused does not understand proceedings
319,351,Power to proceed against other persons appearing to be guilty of offence
320,352,Compounding of offences
321,353,Withdrawal from prosecution
322,354,Proceedings against lunatic
323,355,Procedure when person of unsound mind is acquitted
324,356,Resumption of proceedings
325,357,Procedure in case of person of unsound mind tried before Court of Session
326,358,Judgment of acquittal on ground of insanity
327,359,Power of Court to release person of unsound mind pending investigation or trial
328,360,Procedure in case of accused being lunatic
329,361,Trial of persons of unsound mind
330,362,Release of person of unsound mind pending trial
331,363,Resumption of inquiry or trial
332,364,Judgment of acquittal on ground of unsoundness of mind
333,365,Power of Court to release person of unsound mind pending investigation or trial
335,366,Judgment of acquittal on ground of mental illness
337,368,Copy of finding with memorandum
338,369,Procedure where lunatic prisoner is reported capable of making his defence
339,370,Delivery of lunatic to care of relative or friend
340,371,Resumption of proceedings
341,372,Procedure in case of accused being of unsound mind
342,373,Safe custody of lunatic
343,374,Delivery of lunatic to care of relative or friend
344,375,Appeal
345,376,Application of Chapter to like proceedings
346,377,Procedure when Court considers that case should be tried by another Court
347,378,Power of Court to postpone or adjourn proceedings
348,379,Summary procedure for trial of certain offences by magistrates
349,380,Judgment to be pronounced
350,381,Contents of judgment
351,382,Language and contents of judgment
352,383,Copy of judgment to be given to accused and other persons
353,384,Judgment of acquittal
354,385,Order to pay compensation
355,386,Order for compensation for groundless arrest
356,387,Order for payment of costs in non-cognizable cases
357,388,Order to pay compensation
357A,389,Victim Compensation Scheme
358,390,Compensation to persons groundlessly arrested
359,391,Order to pay costs in non-cognizable cases
360,392,Order to release on probation of good conduct or after admonition
361,393,Special reasons to be recorded in certain cases
362,394,Court not to alter judgment
363,395,Copy of judgment to be given to accused and other persons
364,396,Judgment when pronounced
365,397,Sessions Judge to see that judgment is correct
366,398,Sentence of death to be submitted by Court of Session
367,399,Power to direct further inquiry
368,400,Power of High Court to confirm sentence or annul conviction
369,401,Confirmation of sentence
370,402,Power of High Court to confirm sentence or annul conviction
371,403,Confirmation or new sentence to be signed by two Judges
372,404,Procedure in case of difference of opinion
373,405,Execution of order of confirmation
374,407,Appeals from conviction
375,408,No appeal in certain cases
376,409,No appeal in petty cases
377,410,Appeal in case of acquittal
378,411,Appeal in case of acquittal
379,412,Appeal against conviction by High Court in certain cases
380,413,Special right of appeal in certain cases
381,414,Appeal to Court of Session how heard
382,415,Petition of appeal
383,416,Procedure when appellant in jail
384,417,Summary dismissal of appeal
385,418,Notice of appeal
386,419,Powers of the Appellate Court
387,420,Order of High Court on appeal to be certified to lower Court
388,421,Suspension of sentence pending the appeal power to release appellant on bail
389,422,Suspension of sentence pending the appeal power to release appellant on bail
390,423,Arrest of accused in appeal from acquittal
391,424,Appellate Court may take further evidence or direct it to be taken
392,425,Procedure where Judges of Court of appeal are equally divided
393,426,Finality of judgments and orders on appeal
394,427,Abatement of appeals
395,428,Reference to High Court
396,429,Reference by Sessions Judge
397,430,Revision
398,431,Power to order inquiry
399,432,Sessions Judge's powers of revision
400,433,Power of Additional Sessions Judge
401,434,High Court's powers of revision
402,435,Power to order further inquiry
403,436,Power of High Court to enhance sentence
404,437,Power to release bail
405,438,Calling for records to exercise powers of revision
406,439,Power of Supreme Court to transfer cases and appeals
407,440,Power of High Court to transfer cases and appeals
408,441,Power of Sessions Judge to transfer cases
409,442,Withdrawal of cases and appeals by Sessions Judge
410,443,Making over or withdrawal of cases by Chief Judicial Magistrate
411,444,Bail
412,445,Direction for bail to apply to superior Court
413,446,Bail to be taken when main accused surrenders
414,447,Prison custody to count as part of imprisonment awarded
415,448,Person in jail
416,449,Execution of sentence
417,450,Imprisonment in default of payment of fine
418,451,Sentence on escaped convict when caught
419,452,Sentence when person already sentenced for another offence
420,453,Return of warrant on execution of sentence
421,454,Warrant for levy of fine
422,455,Effect of concurrent sentences
423,456,Levy of fine
424,457,Power to release on bail person sentenced to fine only
425,458,Suspension of execution of sentence of imprisonment
426,459,Execution of sentence of death
427,460,Sentence of imprisonment to cease on escape
428,461,Remissions and commutations
429,462,Power of State to suspend or remit sentences
430,463,Concurrent sentences
431,464,Limit to imprisonment for fine
432,465,Power of State Government to suspend or remit sentences
433,466,Power of Central Government to suspend or remit sentences
433A,467,Restriction on powers of remission or commutation in certain cases
434,468,Concurrent sentences
435,469,State Government to act after consultation with Central Government
436,470,Bail in bailable offences
436A,479,Maximum period for which an undertrial prisoner can be detained
437,480,When bail may be taken in case of non-bailable offence
437A,481,Bail to require accused to appear before next appellate Court
438,482,Direction for bail in case of apprehension of arrest
439,483,Special powers of High Court or Court of Session regarding bail
440,484,Amount of bond and reduction thereof
441,485,Bond of accused and sureties
441A,486,Declaration by sureties
442,487,Discharge from custody
443,488,Power to order sufficient bail when that first taken is insufficient
444,489,Discharge of sureties
445,490,Deposit instead of recognizance
446,491,Procedure on forfeiture of bond
446A,492,Cancellation of bail bonds
447,493,Procedure in case of insolvency or death of surety or when a bond is forfeited
448,494,Appeals from orders under section 447
449,495,Recognizance for appearance before High Court
450,496,Recognizance for keeping the peace
451,497,Seizure of property
452,498,Delivery to Master of vessel of offender or things
453,499,Procedure by officer in charge of police station on seizure of property
454,500,Powers of Court to order return of property seized
455,501,Property seized in execution of search-warrant
456,502,Disposal of things found in search beyond jurisdiction
457,503,Procedure by police on seizure of property
458,504,Saving of powers of High Court
459,505,Powers of Courts to release or restore
460,506,Provisions for treating cases
461,507,Property regarding which offence is committed to be dealt with
462,508,Power of Supreme Court
463,509,Application to High Court to set aside forfeiture
464,510,Effect of omission to frame or absence of or error in charge
465,511,Finding or sentence when reversible by reason of error omission or irregularity
466,512,Proceedings in wrong place
467,513,Non-compliance with provisions of section 164 or 281
468,514,Irregularities which vitiate proceedings
469,515,Irregularities which do not vitiate proceedings
470,516,Stay of proceedings
471,517,Withdrawal of cases by Sessions Judge
472,518,Making over of cases by Chief Judicial Magistrate
473,519,Limitation for taking cognizance of certain offences
474,520,Exclusion of time of proceeding bona fide in Court without jurisdiction
475,521,Power to issue direction
476,522,Duty of certain officers to file evidence
477,523,General power to make rules
478,524,Powers exercisable by a Judge in vacation
479,525,Language of certain Courts
480,526,Powers of High Court in revision
481,527,Orders for public servants to arrest
482,528,Inherent powers of High Court
483,529,Disposal of property in certain cases
484,530,Power to make rules
485,531,Power to amend first schedule
486,532,Repeal and savings
